City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,22.67,71,19,9.44,MU,1691513100
1,guiuan,11.0333,125.7247,29.17,76,84,5.38,PH,1691513100
2,bredasdorp,-34.5322,20.0403,10.95,83,55,2.11,ZA,1691513100
3,adamstown,-25.066,-130.1015,22.27,87,98,12.56,PN,1691513100
4,avarua,-21.2078,-159.775,18.03,88,20,1.54,CK,1691513100
5,uturoa,-16.7333,-151.4333,25.4,78,79,1.71,PF,1691513100
6,udachny,66.4167,112.4,19.14,51,45,2.38,RU,1691513100
7,mahalapye,-23.1041,26.8142,18.45,19,0,3.13,BW,1691513100
8,iqaluit,63.7506,-68.5145,6.85,87,40,5.66,CA,1691513100
9,kerikeri,-35.2268,173.9474,6.09,92,42,2.15,NZ,1691513100
10,pacocha,-17.5833,-71.3333,20.08,73,0,4.63,PE,1691513100
11,jamestown,42.097,-79.2353,23.07,70,75,11.32,US,1691512900
12,seydi,39.4816,62.9137,30.24,21,0,4.71,TM,1691513100
13,waitangi,-43.9535,-176.5597,9.34,96,100,0.89,NZ,1691513101
14,margaret river,-33.95,115.0667,11.92,56,56,5.75,AU,1691513101
15,blackmans bay,-43.0167,147.3167,4.18,93,54,2.63,AU,1691513101
16,ushuaia,-54.8,-68.3,3.81,81,0,1.54,AR,1691513101
17,hermanus,-34.4187,19.2345,14.33,76,55,5.44,ZA,1691513101
18,grytviken,-54.2811,-36.5092,-3.82,82,32,3.98,GS,1691513102
19,hamilton,39.1834,-84.5333,27.63,61,20,4.12,US,1691513097
20,peace river,56.2501,-117.286,15.17,88,100,3.09,CA,1691512854
21,ilulissat,69.2167,-51.1,10.01,53,20,2.06,GL,1691513102
22,tochigi,36.3833,139.7333,26.18,89,97,1.19,JP,1691513104
23,dunay,42.8803,132.3375,18.93,96,100,0.66,RU,1691513104
24,ceres,37.5949,-120.9577,32.67,60,0,2.06,US,1691513104
25,labytnangi,66.6572,66.4183,13.26,76,100,2.03,RU,1691513104
26,freetown,8.484,-13.2299,27.84,83,75,6.17,SL,1691513104
27,bamboo flat,11.7,92.7167,29.05,79,40,5.14,IN,1691513104
28,punta arenas,-53.15,-70.9167,2.84,74,99,0.48,CL,1691512927
29,aleksandrovsk-sakhalinskiy,50.8975,142.1561,12.82,85,100,2.55,RU,1691513105
30,sitka,57.0531,-135.33,13.94,94,100,5.14,US,1691513105
31,port-aux-francais,-49.35,70.2167,0.94,80,92,13.9,TF,1691513105
32,vila franca do campo,37.7167,-25.4333,24.23,62,5,2.5,PT,1691513105
33,kodiak,57.79,-152.4072,10.73,93,75,1.54,US,1691513106
34,merizo village,13.2658,144.6691,26.66,97,100,6.15,GU,1691513106
35,ulcinj,41.9294,19.2244,27.12,57,1,6.34,ME,1691513106
36,bethel,41.3712,-73.414,27.51,71,100,5.66,US,1691513002
37,ribeira grande,38.5167,-28.7,25.22,73,40,6.26,PT,1691513106
38,dodoma,-6.1722,35.7395,21.71,47,28,5.44,TZ,1691513106
39,edinburgh of the seven seas,-37.0676,-12.3116,15.02,86,64,18.45,SH,1691513106
40,weno,7.4515,151.8468,27.97,83,100,1.54,FM,1691513106
41,talnakh,69.4865,88.3972,18.45,62,92,0.23,RU,1691513107
42,pago pago,-14.2781,-170.7025,26.55,94,40,2.57,AS,1691513107
43,thompson,55.7435,-97.8558,11.09,93,100,6.17,CA,1691512942
44,union de tula,19.9667,-104.2667,26.96,49,5,0.86,MX,1691513107
45,port alfred,-33.5906,26.891,16.21,85,96,1.34,ZA,1691513107
46,nar'yan-mar,67.6713,53.087,12.4,64,78,3.08,RU,1691513107
47,saint george's,12.0564,-61.7485,31.82,74,20,6.17,GD,1691513107
48,minas de marcona,-15.2119,-75.1103,17.96,59,8,6.22,PE,1691513107
49,rio grande,-32.035,-52.0986,19.06,60,12,6.81,BR,1691513107
50,whitehorse,60.7161,-135.0538,14.89,91,100,3.09,CA,1691513108
51,melenki,55.3343,41.6295,22.35,73,1,3.38,RU,1691513108
52,albany,42.6001,-73.9662,25.03,87,100,0.89,US,1691512927
53,karratha,-20.7377,116.8463,21.15,52,1,2.27,AU,1691513108
54,swiecie,53.4095,18.4474,19.58,66,100,5.36,PL,1691512986
55,zyryanskoye,56.8306,86.6258,13.23,82,12,0.7,RU,1691513108
